C1A,C1B,C2A,C2B,C3A,C3B,C4A,C4B,L
80,0,0,0,186,0,0,43,2
129,11,0,0,156,33,0,74,2
139,0,0,0,4,0,250,0,1
190,0,49,0,19,25,250,0,1
122,0,27,0,0,25,250,0,1
239,0,0,0,8,0,250,0,1
182,1,0,0,105,11,52,0,1
145,197,51,0,67,96,64,0,2
128,20,0,0,44,153,0,0,2
32,68,0,0,132,42,0,0,2
145,132,45,0,15,161,0,0,2
247,37,61,0,0,144,0,0,2
274,193,266,142,171,29,0,0,2
96,26,66,0,48,18,0,0,2
203,8,0,0,80,135,45,0,1
199,118,0,0,149,76,0,0,1
0,89,0,0,72,59,0,0,1
162,123,0,0,58,132,56,10,1
132,44,38,0,15,66,0,0,1
194,167,67,25,122,14,225,0,2
239,85,185,0,116,36,250,0,2